Domain,Location on Site,Software,Members,Posts,Threads,Forum Detected
2r-forums.com,2r-forums.com,YaBB,5,6,5,Yes
420blazeit.xyz,forum.420blazeit.xyz,YaBB,-1,-1,-1,Yes
banhungcagiunuoc.vn,forum.banhungcagiunuoc.vn,YaBB,-1,-1,-1,Yes
bestgamblingforums.com,bestgamblingforums.com,YaBB,-1,-1,-1,Yes
bettereducation.com.au,bettereducation.com.au,YaBB,-1,-1,-1,Yes
bf30.se,bf30.se,YaBB,-1,-1,-1,Yes
biznas.com,biznas.com,YaBB,50486,203205,173933,Yes
bluelemonmedia.com,ekonew.bluelemonmedia.com,YaBB,-1,-1,-1,Yes
brewhausforum.com,brewhausforum.com,YaBB,-1,-1,-1,Yes
bs4u.vn,forum.bs4u.vn,YaBB,1270,2283,2091,Yes
buzzfantasygolf.com,forums.buzzfantasygolf.com,YaBB,29532,578,246,Yes
bystrometiz.ru,forum.bystrometiz.ru,YaBB,0,0,0,No
carcenteronline.com,forum.carcenteronline.com,YaBB,39,272,239,Yes
carpha.org,forum.carpha.org,YaBB,-1,-1,-1,Yes
citydriftersgraz.at,forum.citydriftersgraz.at,YaBB,0,0,0,No
civiltech.gr,civiltech.gr,YaBB,-1,-1,-1,Yes
cnclabs.com,cnclabs.com,YaBB,-1,-1,-1,Yes
coatingspromag.com,coatingspromag.com,YaBB,-1,-1,-1,Yes
coject.space,coject.space,YaBB,0,0,0,No
congdongitviet.com,congdongitviet.com,YaBB,0,0,0,No
coventryinforsyth.com,coventryinforsyth.com,YaBB,-1,-1,-1,Yes
cvofbradenton.com,cvofbradenton.com,YaBB,0,0,0,No
cwf-fcf.org,board.cwf-fcf.org,YaBB,0,0,0,No
knowledge-sphere.com,knowledge-sphere.com,YaBB,0,0,0,No
netal.com,support.netal.com,YaBB,-1,-1,-1,Yes
neworderonline.com,forums.neworderonline.com,YaBB,2155,34709,2798,Yes
ngm.eu,forum.ngm.eu,YaBB,10403,12710,3422,Yes
ngmitalia.it,forum.ngmitalia.it,YaBB,10403,12710,3422,Yes
nregsmp.org,forum.nregsmp.org,YaBB,0,0,0,No
nullify.net,forum.nullify.net,YaBB,-1,-1,-1,Yes
officeclip.com,forum.officeclip.com,YaBB,-1,-1,-1,Yes
officeclip.com,officeclip.com,YaBB,-1,-1,-1,Yes
tag-knowledge.com,forum.tag-knowledge.com,YaBB,0,0,0,No
talkingstamps.com,talkingstamps.com,YaBB,62,798,152,Yes
taxirates.ca,forum.taxirates.ca,YaBB,-1,-1,-1,Yes
taxis-hub.com,forum.taxis-hub.com,YaBB,-1,-1,-1,Yes
thefreedictionary.com,forum.thefreedictionary.com,YaBB,-1,-1,-1,Yes
thehackerwithin.com,forum.thehackerwithin.com,YaBB,2285,7996,979,Yes
tht.org.uk,forum.tht.org.uk,YaBB,-1,-1,-1,Yes
tht.org.uk,myhiv.tht.org.uk,YaBB,0,0,0,No
ticks.dk,ticks.dk,YaBB,0,0,0,No
tkaraoke.com,oldforum.tkaraoke.com,YaBB,-1,-1,-1,Yes
trainzdevteam.ru,forum.trainzdevteam.ru,YaBB,0,0,0,No
ibox.ie,forums.ibox.ie,YaBB,-1,-1,-1,Yes
ihealthnetworks.com,forum.ihealthnetworks.com,YaBB,-1,-1,-1,Yes
ikbenbio.org,forum.ikbenbio.org,YaBB,-1,-1,-1,Yes
infosys.it,comuneviolaforum.infosys.it,YaBB,2,1,1,Yes
intanibase.com,intanibase.com,YaBB,-1,-1,-1,Yes
intrix.at,swipe.intrix.at,YaBB,0,0,0,No
invernesscc.co.uk,forum.invernesscc.co.uk,YaBB,421,14033,1900,Yes
iosh.co.uk,forum.iosh.co.uk,YaBB,90683,506649,72290,Yes
ipi.org.uk,forum.ipi.org.uk,YaBB,5,3,1,Yes
itsco.de,forum.itsco.de,YaBB,-1,-1,-1,Yes
jampersonals.com,forum.jampersonals.com,YaBB,0,0,0,No
joaquinphoenix.com,joaquinphoenix.com,YaBB,376,9014,2195,Yes
justyou.co.uk,forum.justyou.co.uk,YaBB,-1,-1,-1,Yes
sapropertynetwork.com,forum.sapropertynetwork.com,YaBB,-1,-1,-1,Yes
scrubdnc.net,scrubdnc.net,YaBB,-1,-1,-1,Yes
secretcity.de,forums.secretcity.de,YaBB,-1,-1,-1,Yes
sienn.com,forum.sienn.com,YaBB,18,443,238,Yes
silveradoss.net,silveradoss.net,YaBB,326,616,116,Yes
sircles.net,forum.sircles.net,YaBB,-1,-1,-1,Yes
skyron-staging.co.uk,bloomsbury-test-forum.skyron-staging.co.uk,YaBB,-1,-1,-1,Yes
songofsongs.co.uk,forum.songofsongs.co.uk,YaBB,-1,-1,-1,Yes
spielraum.co.at,inside.spielraum.co.at,YaBB,0,0,0,No
squirrel-lang.org,forum.squirrel-lang.org,YaBB,-1,-1,-1,Yes
sta4.net,staforum.sta4.net,YaBB,-1,-1,-1,Yes
sta4.net,forum.sta4.net,YaBB,-1,-1,-1,Yes
stratalisgroup.com,valetailingsforum.stratalisgroup.com,YaBB,0,0,0,No
strokesplus.net,forum.strokesplus.net,YaBB,1308,3143,540,Yes
summarypro.co.uk,forum.summarypro.co.uk,YaBB,0,0,0,No
swoopware.com,swoopware.com,YaBB,-1,-1,-1,Yes
swoopware.com,forum.swoopware.com,YaBB,-1,-1,-1,Yes
syzefxis.gov.gr,forum.syzefxis.gov.gr,YaBB,0,0,0,No
syzefxis.gov.gr,forums.syzefxis.gov.gr,YaBB,-1,-1,-1,Yes
vansrvclub.com,vansrvclub.com,YaBB,6,15,13,Yes
vansrvclub.net,vansrvclub.net,YaBB,6,15,13,Yes
vansstickandrudder.net,vansstickandrudder.net,YaBB,6,15,13,Yes
vgkforums.com,vgkforums.com,YaBB,11,59,44,Yes
vietbao.com,phovui.vietbao.com,YaBB,-1,-1,-1,Yes
vietbao.com,phorum.vietbao.com,YaBB,-1,-1,-1,Yes
vietbao.com,forum.vietbao.com,YaBB,0,0,0,No
vietbao.com,forums.vietbao.com,YaBB,0,0,0,No
vmix.com,forums.vmix.com,YaBB,21686,88976,19167,Yes
vwelt.com,vwelt.com,YaBB,-1,-1,-1,Yes
dartsby.org,forum.dartsby.org,YaBB,-1,-1,-1,Yes
daviation.co.za,forum.daviation.co.za,YaBB,-1,-1,-1,Yes
deagostini.co.uk,forum.deagostini.co.uk,YaBB,0,0,0,No
deagostini.de,forum.deagostini.de,YaBB,0,0,0,No
deagostini.it,forum.deagostini.it,YaBB,-1,-1,-1,Yes
deagostini.us,forum.deagostini.us,YaBB,0,0,0,No
deltaengine.net,forum.deltaengine.net,YaBB,7209,4176,610,Yes
dentalwriter.com,dentalwriter.com,YaBB,-1,-1,-1,Yes
dhb-scripting.com,dhb-scripting.com,YaBB,0,0,0,No
dhsdiecast.com,forums.dhsdiecast.com,YaBB,-1,-1,-1,Yes
dhsdiecast.com,forum.dhsdiecast.com,YaBB,-1,-1,-1,Yes
dicautil.com,dicautil.com,YaBB,-1,-1,-1,Yes
diendanhoadondientu.com,diendanhoadondientu.com,YaBB,0,0,0,No
digitalfarm.it,forum.digitalfarm.it,YaBB,0,0,0,No
digitaltools.com,forum.digitaltools.com,YaBB,120,94,38,Yes
dok-forum.de,dok-forum.de,YaBB,-1,-1,-1,Yes
habfans.com,habfans.com,YaBB,0,0,0,No
heavenlymarriage.org,boards.heavenlymarriage.org,YaBB,0,0,0,No
hificritic.com,forum.hificritic.com,YaBB,1888,23125,1493,Yes
hike.co.il,hike.co.il,YaBB,0,0,0,No
hosenose.com,hosenose.com,YaBB,-1,-1,-1,Yes
hostingfest.com,forums.hostingfest.com,YaBB,756,1507,326,Yes
hostingfest.com,forum.hostingfest.com,YaBB,756,1507,326,Yes
hoylegaming.net,forum.hoylegaming.net,YaBB,0,0,0,No
hyperracing.com,forum.hyperracing.com,YaBB,0,0,0,No
hyundaiowner.com,hyundaiowner.com,YaBB,-1,-1,-1,Yes
landofcash.net,forex-forum.landofcash.net,YaBB,-1,-1,-1,Yes
letscode.in,letscode.in,YaBB,0,0,0,No
lifeintheuk.org,forums.lifeintheuk.org,YaBB,5,6202,2117,Yes
littlekrazy.com,forum.littlekrazy.com,YaBB,0,0,0,No
raahauge.com,skifte.raahauge.com,YaBB,0,0,0,No
rawsharktexts.com,rawsharktexts.com,YaBB,-1,-1,-1,Yes
rugrag.com,forum.rugrag.com,YaBB,-1,-1,-1,Yes
ukdesichat.com,ukdesichat.com,YaBB,435,1349,1223,Yes
unitedskeptics.com,unitedskeptics.com,YaBB,0,0,0,No
utherverse.com,forums.utherverse.com,YaBB,0,0,0,No
utherverse.com,qaforums.utherverse.com,YaBB,-1,-1,-1,Yes
zerys.com,writerforum.zerys.com,YaBB,-1,-1,-1,Yes
zerys.com,agencyforum.zerys.com,YaBB,-1,-1,-1,Yes
fastlane.com.au,fastlane.com.au,YaBB,-1,-1,-1,Yes
federalsoup.com,forum.federalsoup.com,YaBB,0,0,0,No
fixsus.be,forum.fixsus.be,YaBB,-1,-1,-1,Yes
forumvirtuellewelten.de,forumvirtuellewelten.de,YaBB,-1,-1,-1,Yes
fotosofia.info,forum.fotosofia.info,YaBB,28912,6003,1035,Yes
funtoyclub.com,forum.funtoyclub.com,YaBB,0,0,0,No
furh.me,furh.me,YaBB,-1,-1,-1,Yes
gamedb.eu,forum.gamedb.eu,YaBB,-1,-1,-1,Yes
geniusconnect.com,support.geniusconnect.com,YaBB,-1,-1,-1,Yes
georef.com,forum.georef.com,YaBB,-1,-1,-1,Yes
glit-kmu-software.ch,glit-kmu-software.ch,YaBB,-1,-1,-1,Yes
gotocoin.com,gotocoin.com,YaBB,28,152,21,Yes
grsk-forum.org,grsk-forum.org,YaBB,-1,-1,-1,Yes
grskforum.org,grskforum.org,YaBB,-1,-1,-1,Yes
packershome.com,packershome.com,YaBB,-1,-1,-1,Yes
packsynergy.de,forum.packsynergy.de,YaBB,0,0,0,No
paraversume.com,forums.paraversume.com,YaBB,-1,-1,-1,Yes
parkerseal.org.uk,parkerseal.org.uk,YaBB,-1,-1,-1,Yes
patagames.com,forum.patagames.com,YaBB,640,2260,813,Yes
paxton-access.com,forum.paxton-access.com,YaBB,-1,-1,-1,Yes
pdforyou.com,pdforyou.com,YaBB,0,0,0,No
pferdeforum.ch,pferdeforum.ch,YaBB,12,58839,2783,Yes
phunuviet.org,forum.phunuviet.org,YaBB,-1,-1,-1,Yes
phunuviet.org,diendan.phunuviet.org,YaBB,0,0,0,No
pitechniques.com,kb.pitechniques.com,YaBB,42,37,31,Yes
pokerprolabs.com,forum.pokerprolabs.com,YaBB,-1,-1,-1,Yes
pre67vw.com,forums.pre67vw.com,YaBB,-1,-1,-1,Yes
punchcad.com,forum.punchcad.com,YaBB,3926,39611,7942,Yes
punchcad.com,forums.punchcad.com,YaBB,3926,39611,7942,Yes
punchsoftware.com,forums.punchsoftware.com,YaBB,89697,12678,4126,Yes
quahill.com,forum.quahill.com,YaBB,0,0,0,No
quaivatdienanh.com,forum.quaivatdienanh.com,YaBB,-1,-1,-1,Yes
quampus.com,forum.quampus.com,YaBB,2950,55,47,Yes
wazua.co.ke,wazua.co.ke,YaBB,0,0,0,No
wazua.com,wazua.com,YaBB,0,0,0,No
wealthmagik.com,forum.wealthmagik.com,YaBB,-1,-1,-1,Yes
wheelspoking.com,forum.wheelspoking.com,YaBB,0,0,0,No
wildfloweratwallkill.com,wildfloweratwallkill.com,YaBB,0,0,0,No
woodworkingteachers.com,woodworkingteachers.com,YaBB,-1,-1,-1,Yes
xn--begleitforschung-stadtumbau-thringen-70d.de,forum.xn--begleitforschung-stadtumbau-thringen-70d.de,YaBB,-1,-1,-1,Yes
yadayah.com,forum.yadayah.com,YaBB,4361,26279,2986,Yes
yadayahweh.com,forum.yadayahweh.com,YaBB,4361,26279,2986,Yes
yetanotherforum.net,yetanotherforum.net,YaBB,-1,-1,-1,Yes
ygopro.co,ygopro.co,YaBB,-1,-1,-1,Yes
ablecommerce.com,ablecommerce.com,YaBB,-1,-1,-1,Yes
adultcoupling.com,adultcoupling.com,YaBB,17,1,1,Yes
aiodmemberportal.com,forum.aiodmemberportal.com,YaBB,551,5,4,Yes
aiutamici.com,forum.aiutamici.com,YaBB,-1,-1,-1,Yes
amateurradioclub.net,amateurradioclub.net,YaBB,0,0,0,No
americommercecommunity.com,americommercecommunity.com,YaBB,2,0,0,Yes
aop.org.uk,community.aop.org.uk,YaBB,-1,-1,-1,Yes
aop.org.uk,uat-community.aop.org.uk,YaBB,0,0,0,No
apk4win.com,apk4win.com,YaBB,-1,-1,-1,Yes
appliancepartspros.com,forum.appliancepartspros.com,YaBB,-1,-1,-1,Yes
arcaderestoration.com,forums.arcaderestoration.com,YaBB,277,4308,540,Yes
asteriskusers.be,asteriskusers.be,YaBB,17,12,10,Yes
astrotreff-deep-sky.de,astrotreff-deep-sky.de,YaBB,0,0,0,No
atvdrumsforum.com,atvdrumsforum.com,YaBB,0,0,0,No
aurigma.com,forums.aurigma.com,YaBB,10039,18744,4690,Yes
ea.im,forums.ea.im,YaBB,0,0,0,No
egritosgroup.gr,forum.egritosgroup.gr,YaBB,0,0,0,No
elevatorshoes.info,elevatorshoes.info,YaBB,-1,-1,-1,Yes
embrio.io,embrio.io,YaBB,0,0,0,No
eofficemedvnu.edu.vn,eofficemedvnu.edu.vn,YaBB,-1,-1,-1,Yes
euronudist.eu,euronudist.eu,YaBB,-1,-1,-1,Yes
eyepluslens.com,eyepluslens.com,YaBB,0,0,0,No
madewithweb.com,42ndstreetyaf.madewithweb.com,YaBB,-1,-1,-1,Yes
manictime.com,forum.manictime.com,YaBB,-1,-1,-1,Yes
marklin-users.net,marklin-users.net,YaBB,-1,-1,-1,Yes
mastersofthemat.com,forums.mastersofthemat.com,YaBB,-1,-1,-1,Yes
mdsp.org,forum.mdsp.org,YaBB,0,0,0,No
melongaming.com,forum.melongaming.com,YaBB,0,0,0,No
meraview.com,meraview.com,YaBB,0,0,0,No
metastock.com,forum.metastock.com,YaBB,-1,-1,-1,Yes
mgs-on-track.com,forum.mgs-on-track.com,YaBB,0,0,0,No
model-space.com,forum.model-space.com,YaBB,-1,-1,-1,Yes
model-space.com,forum.us.model-space.com,YaBB,0,0,0,No
monitoring.bg,forum.monitoring.bg,YaBB,-1,-1,-1,Yes
muahangthue.us,forum.muahangthue.us,YaBB,-1,-1,-1,Yes
muslimbasketball.org,muslimbasketball.org,YaBB,-1,-1,-1,Yes
muzecast.com,forum.muzecast.com,YaBB,0,0,0,No
muzecast.com,auth.muzecast.com,YaBB,-1,-1,-1,Yes
my-ems.net,cascforum.my-ems.net,YaBB,-1,-1,-1,Yes
my-ems.net,coreforum.my-ems.net,YaBB,0,0,0,No
myfoottalk.com,myfoottalk.com,YaBB,0,0,0,No
1312.nu,1312.nu,XMB,-1,-1,-1,Yes
bajanomad.com,forums.bajanomad.com,XMB,11395,1089879,80355,Yes
bestofbaja.com,bestofbaja.com,XMB,11395,1089879,80355,Yes
bezdelikas.mobi,bezdelikas.mobi,XMB,0,0,0,No
butovo.com,forum.butovo.com,XMB,0,0,0,No
cieplodlawarszawy.pl,cieplodlawarszawy.pl,XMB,65,34,12,Yes
club-k.co.nz,club-k.co.nz,XMB,0,0,0,No
kapuhaireef.net,kapuhaireef.net,XMB,-1,-1,-1,Yes
kristalusers.net,kristalusers.net,XMB,-1,-1,-1,Yes
kylm.net,1xf.kylm.net,XMB,1109,32143,1520,Yes
nr1a.com,forum.nr1a.com,XMB,95,4,13,Yes
nr1a.com,board.nr1a.com,XMB,-1,-1,-1,Yes
oostwest-thuisbest.nl,oostwest-thuisbest.nl,XMB,0,0,0,No
osoboedetstvo.ru,osoboedetstvo.ru,XMB,0,0,0,No
tcg-exposure.org,tcg-exposure.org,XMB,0,0,0,No
tercelonline.com,tercelonline.com,XMB,-1,-1,-1,Yes
thesheeplespen.com,thesheeplespen.com,XMB,-1,-1,-1,Yes
thomas-heydel.de,forum.thomas-heydel.de,XMB,78,21,5,Yes
tipsklub.de,tipsklub.de,XMB,21,78,3,Yes
tomprek.scot,tomprek.scot,XMB,47,52,11,Yes
trconnection.com,forum.trconnection.com,XMB,-1,-1,-1,Yes
tresmancias.com,forum.tresmancias.com,XMB,0,0,0,No
i20k.com,html5game.i20k.com,XMB,-1,-1,-1,Yes
idra.it,zerouno.idra.it,XMB,13,16,11,Yes
imarobot.net,imarobot.net,XMB,4538,85291,5615,Yes
islape.com,xmb.islape.com,XMB,-1,-1,-1,Yes
slotracinglemans.com,slotracinglemans.com,XMB,0,0,0,No
solbu.net,forum.solbu.net,XMB,284,28173,2273,Yes
dfreload.com,dfreload.com,XMB,-1,-1,-1,Yes
div-arena.co.uk,div-arena.co.uk,XMB,-1,-1,-1,Yes
dlteh.net,dlteh.net,XMB,29,70,13,Yes
domeinforum.nl,domeinforum.nl,XMB,0,0,0,No
domeinprofs.nl,domeinprofs.nl,XMB,-1,-1,-1,Yes
drunkpunch.me,x.drunkpunch.me,XMB,17,82,12,Yes
highlandponyenthusiasts.co.uk,forum.highlandponyenthusiasts.co.uk,XMB,329,513521,40814,Yes
level-sex.com,forum.level-sex.com,XMB,-1,-1,-1,Yes
locostbuilders.co.uk,locostbuilders.co.uk,XMB,-1,-1,-1,Yes
lottos.com.au,lottos.com.au,XMB,-1,-1,-1,Yes
ray.st,api.preview.ray.st,XMB,-1,-1,-1,Yes
ursb.de,pad.ursb.de,XMB,0,0,0,No
zenhex.com,zenhex.com,XMB,95,4,13,Yes
znie.de,pb2.znie.de,XMB,21,78,3,Yes
film-shorts.tv,wpress.cfonseca160.film-shorts.tv,XMB,0,0,0,No
film-shorts.tv,xmbbulletinboard.film-shorts.tv,XMB,0,0,0,No
firepolice.co,firepolice.co,XMB,0,0,0,No
foryouforums.net,foryouforums.net,XMB,0,0,0,No
gamedog.se,gamedog.se,XMB,0,0,0,No
grandbro.date,grandbro.date,XMB,0,0,0,No
postcrossing.com,forum.postcrossing.com,XMB,28648,510195,8331,Yes
xmbforum2.com,forums.xmbforum2.com,XMB,63,36,12,Yes
xmbforum2.com,alpha.xmbforum2.com,XMB,0,0,0,No
xmbforum2.com,alt.xmbforum2.com,XMB,0,0,0,No
ytjt.org,forum.ytjt.org,XMB,49,50,12,Yes
akeet.com,akeet.com,XMB,27,1022,480,Yes
alfapower.nu,alfapower.nu,XMB,-1,-1,-1,Yes
auroraservers.xyz,auroraservers.xyz,XMB,66,33,12,Yes
e-padi.com,forum.e-padi.com,XMB,135,19,6,Yes
e-padi.com,mail.forum.e-padi.com,XMB,0,0,0,No
maschinengeist.org,forum.maschinengeist.org,XMB,31,68,13,Yes
mrafrica.us,mrafrica.us,XMB,-1,-1,-1,Yes
my3cx.it,monoinformatica3cx.my3cx.it,XMB,-1,-1,-1,Yes
mysmall.horse,mysmall.horse,XMB,95,4,13,Yes
101xp.com,forums.101xp.com,Xenforo,0,0,0,No
101xp.com,forum-ru.101xp.com,Xenforo,0,0,0,No
101xp.com,forum-en.101xp.com,Xenforo,0,0,0,No
101xp.com,forum-icarus.101xp.com,Xenforo,-1,-1,-1,Yes
101xp.com,forum-loa3.101xp.com,Xenforo,-1,-1,-1,Yes
101xp.com,forum-mstar.101xp.com,Xenforo,0,0,0,No
101xp.com,forum-eol.101xp.com,Xenforo,-1,-1,-1,Yes
101xp.com,forum-snm.101xp.com,Xenforo,-1,-1,-1,Yes
101xp.com,forum-tr.101xp.com,Xenforo,-1,-1,-1,Yes
101xp.com,forum-jd.101xp.com,Xenforo,-1,-1,-1,Yes
1911forum.com,1911forum.com,Xenforo,-1,-1,-1,Yes
1doi1.com,1doi1.com,Xenforo,-1,-1,-1,Yes
28dayslater.co.uk,28dayslater.co.uk,Xenforo,86139,261135,42420,Yes
2banh.vn,2banh.vn,Xenforo,-1,-1,-1,Yes
4game.com,forum.br.4game.com,Xenforo,-1,-1,-1,Yes
4game.com,forum.la.4game.com,Xenforo,-1,-1,-1,Yes
4gameforum.com,4gameforum.com,Xenforo,-1,-1,-1,Yes
4j.com,forum.4j.com,Xenforo,-1,-1,-1,Yes
4runners.com,4runners.com,Xenforo,-1,-1,-1,Yes
bazicenter.com,bazicenter.com,Xenforo,-1,-1,-1,Yes
bcdb.com,forums.bcdb.com,Xenforo,-1,-1,-1,Yes
beeradvocate.com,beeradvocate.com,Xenforo,-1,-1,-1,Yes
beesource.com,beesource.com,Xenforo,-1,-1,-1,Yes
benzworld.org,benzworld.org,Xenforo,-1,-1,-1,Yes
bettafish.com,bettafish.com,Xenforo,-1,-1,-1,Yes
beyondunreal.com,forums.beyondunreal.com,Xenforo,-1,-1,-1,Yes
bgol.us,bgol.us,Xenforo,-1,-1,-1,Yes
bigsoccer.com,bigsoccer.com,Xenforo,-1,-1,-1,Yes
bikemag.com,ridemonkey.bikemag.com,Xenforo,19144,3376,165074,Yes
bimmerfest.com,bimmerfest.com,Xenforo,-1,-1,-1,Yes
bit-tech.net,forums.bit-tech.net,Xenforo,0,0,0,No
bitverzo.com,ruanabol.chat.bitverzo.com,Xenforo,-1,-1,-1,Yes
bmwclub.ru,bmwclub.ru,Xenforo,0,0,0,No
bmwfaq.org,bmwfaq.org,Xenforo,-1,-1,-1,Yes
boat-lifestyle.com,community.boat-lifestyle.com,Xenforo,-1,-1,-1,Yes
boatdesign.net,boatdesign.net,Xenforo,0,0,0,No
bowhunting.com,forums.bowhunting.com,Xenforo,0,0,0,No
